plz_name;Spalte1;lan_name;geo_point_2d
Wangen im Allgäu;88239;Baden-Württemberg;47.6924936068,9.80614611541
Altheim;89605;Baden-Württemberg;48.3213904072,9.74930587486
Allmendingen;89604;Baden-Württemberg;48.3147746873,9.7912835316
Donzdorf;73072;Baden-Württemberg;48.6927330523,9.81378702842
Cornberg;36219;Hessen;51.0533442511,9.83382872556
Hamburg;21147;Hamburg;53.4833081561,9.85381380352
Langenburg;74595;Baden-Württemberg;49.2571302794,9.85583253862
Scheidegg;88175;Bayern;47.5697216985,9.85147397445
Hamburg;22547;Hamburg;53.5986359447,9.87770096311
Göttingen;37081;Niedersachsen;51.532452422,9.90376878024
Philippsthal;36269;Hessen;50.8491646917,9.9760448697
Burgrieden;88483;Baden-Württemberg;48.2313018303,9.95049161285
Waabs;24369;Schleswig-Holstein;54.530481041,9.96681388925
Göttingen;37083;Niedersachsen;51.5060440824,9.94459590368
Seevetal;21218;Niedersachsen;53.3870029927,9.97311773474
Neumünster;24537;Schleswig-Holstein;54.0865800276,9.95355003878
Ulm;89075;Baden-Württemberg;48.4179662656,9.99221638206
Schmalfeld;24640;Schleswig-Holstein;53.8948010657,9.99547566837
Neumünster;24536;Schleswig-Holstein;54.1103857179,10.0059481726
Hamburg;21073;Hamburg;53.4570695918,9.97185610917
Hamburg;22453;Hamburg;53.6360495158,9.95555388086
Neu-Ulm;89231;Bayern;48.3794414588,10.0097699206
Hamburg;22085;Hamburg;53.5732034312,10.0148247505
Kürnach;97273;Bayern;49.8409526971,10.0512727319
Wallhausen;74599;Baden-Württemberg;49.2247879047,10.0859442463
Seulingen, Waake u.a.;37136;Niedersachsen;51.5564522223,10.1099434399
Heiligenstadt;37308;Thüringen;51.3334510874,10.1536999832
Hamburg;22399;Hamburg;53.6647888705,10.0721664966
Celle;29227;Niedersachsen;52.5942949828,10.1120733397
Kronshagen;24119;Schleswig-Holstein;54.3365169345,10.082553955
Lautrach;87763;Bayern;47.8872082103,10.1068561255
Geldersheim;97505;Bayern;50.0424864714,10.1449653879
Börnhöved;24619;Schleswig-Holstein;54.0652605374,10.2027946683
Rothenburg ob der Tauber;91541;Bayern;49.3696396088,10.1582702095
Hamburg;21033;Hamburg;53.5024649943,10.160037045
Eschede;29348;Niedersachsen;52.7568512447,10.282442403
Fellheim;87748;Bayern;48.0737461697,10.1525193612
Unterroth;89299;Bayern;48.19622215,10.1891578192
Kiel;24149;Schleswig-Holstein;54.3336830935,10.1921369147
Waltenhofen;87448;Bayern;47.6484712035,10.26543641
Röthlein;97520;Bayern;49.9637552383,10.2138017343
Lachendorf;29331;Niedersachsen;52.6270091449,10.2477232287
Sehlde;38279;Niedersachsen;52.0290374848,10.239025202
Schwarzach a. Main;97359;Bayern;49.8032619056,10.2337714644
Leinefelde-Worbis, Wingerode, Hausen;37327;Thüringen;51.3805869132,10.3061150532
Breitenthal;86488;Bayern;48.2384549461,10.3039935768
Lauben;87493;Bayern;47.7802160402,10.3091308851
Vechelde;38159;Niedersachsen;52.2513046706,10.3662777164
Erkheim;87746;Bayern;48.0499555869,10.3457478037
Witzhave;22969;Schleswig-Holstein;53.5731669226,10.3339239808
Handorf;21447;Niedersachsen;53.342024146,10.3388709394
Geesthacht;21502;Schleswig-Holstein;53.4395760838,10.4016277791
Aurach;91589;Bayern;49.2400632432,10.396348567
Schwienau;29593;Niedersachsen;52.9935506525,10.3986658805
Markt Bibart;91477;Bayern;49.6995055107,10.3622781734
Langlingen;29364;Niedersachsen;52.560051516,10.3691162299
Wertach;87497;Bayern;47.5840495792,10.4119193347
Kammlach;87754;Bayern;48.0494762265,10.4056217264
Didderse;38530;Niedersachsen;52.3841461039,10.4061483634
Hamfelde, Kasseburg, Köthel, Rausdorf, Schönberg;22929;Schleswig-Holstein;53.6767636554,10.4326490825
Riesbürg;73469;Baden-Württemberg;48.8652569701,10.4349864221
Langfurth;91731;Bayern;49.1019536637,10.4539475316
Dorstadt, Flöthe, Börßum u.a.;38312;Niedersachsen;52.0860289399,10.5451325648
